"series","region","subregion","ICES_ecoregion","country","station_code","station_name","station_long_name","latitude","longitude","MSTAT","WLTYP","determinand","determinand_group","species","matrix","basis","unit","sex","metoa","mammal_group","shape","colour","n_year_all","n_year_fit","n_year_positive","first_year_all","first_year_fit","last_year","p_nonlinear","p_linear","p_overall","p_linear_trend","linear_trend","p_recent_trend","recent_trend","detectable_trend","mean_last_year","climit_last_year","BAC_type","BAC_value","BAC_diff","BAC_achieved","BAC_below","EAC_type","EAC_value","EAC_diff","EAC_achieved","EAC_below","HQS","HQS_diff","HQS_achieved","HQS_below"
"Norway_51A Byrkjenes HG Mytilus edulis SB Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","4686","51A Byrkjenes","51A Byrkjenes, Inner Sørfjord",60.08429,6.55095,"IH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","downward_triangle","red",24,24,24,1987,1987,2018,0.0017,0.1473,6e-4,0.5007,1.3,0.0188,-6.4,25,311.01476318548936,592.1852189154619,"BAC",90,502.18521891546186,2037,"above","EQS.OSPAR",121.95121951219514,470.2339994032667,2033,"above",3048.7804878048782,-2456.5952688894163,2018,"below"
"Norway_52A Eitrheimsneset HG Mytilus edulis SB Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","4687","52A Eitrheimsneset","52A Eitrheimsneset, Inner Sørfjord",60.09677,6.53293,"IH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","red",27,27,27,1989,1989,2018,0.0025,1e-4,0,0,-6.1,0.6898,-0.8,20.2,205.80115557825837,328.46662011771474,"BAC",90,238.46662011771474,2120,"above","EQS.OSPAR",121.95121951219514,206.5154006055196,2083,"above",3048.7804878048782,-2720.3138676871636,2018,"below"
"Norway_53B Inner Sørfjord HG Gadus morhua MU Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","5074","53B Inner Sørfjord","53B Inner Sørfjord",60.09727,6.53972,"IH","CF","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","large_filled_circle","red",34,34,34,1987,1987,2020,,0.9394,0.9394,0.9394,-0.1,0.9394,-0.1,15.6,187.3276371957783,234.15895906931507,,,,,,"EQS.OSPAR",20,214.15895906931507,3000,"above",500,-265.8410409306849,2020,"below"
"Norway_53F Inner Sørfjord HG Limanda limanda MU Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","5077","53F Inner Sørfjord","53F Inner Sørfjord",60.09727,6.53972,"RH","CF","HG","Metals","Limanda limanda","MU","W","ug/kg",,,"Not_applicable","small_open_circle","red",1,1,1,2016,2016,2016,,,,,,,,,768.0000000000001,,,,,,,"EQS.OSPAR",20,748.0000000000001,,,500,268.0000000000001,,
"Norway_53F Inner Sørfjord HG Platichthys flesus MU Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","5077","53F Inner Sørfjord","53F Inner Sørfjord",60.09727,6.53972,"RH","CF","HG","Metals","Platichthys flesus","MU","W","ug/kg",,,"Not_applicable","large_filled_circle","red",28,28,28,1984,1984,2016,0.0015,0.2746,8e-4,0.1573,-2.4,0.1613,-3.9,19.9,187.38760887757238,351.87612522243114,,,,,,"EQS.OSPAR",20,331.87612522243114,2074,"above",500,-148.12387477756886,2016,"below"
"Norway_56A Kvalnes HG Mytilus edulis SB Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","4688","56A Kvalnes","56A Kvalnes, Mid Sørfjord",60.2205,6.602,"IH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","red",32,32,32,1987,1987,2020,0.0453,0.0141,0.0022,0.7249,-0.4,0.9708,0.1,16.6,499.37203287940883,739.5547736757081,"BAC",90,649.5547736757081,3000,"above","EQS.OSPAR",121.95121951219514,617.603554163513,3000,"above",3048.7804878048782,-2309.2257141291702,2020,"below"
"Norway_57A Krossanes HG Mytilus edulis SB Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","4690","57A Krossanes","57A Krossanes, Outer Sørfjord",60.38707,6.68952,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","red",30,30,30,1987,1987,2019,0.0308,0.0136,0.0015,0.8261,-0.2,0.6697,-0.6,15.4,230.2872625158431,334.9541654610534,"BAC",90,244.95416546105338,2174,"above","EQS.OSPAR",121.95121951219514,213.00294594885824,2124,"above",3048.7804878048782,-2713.826322343825,2019,"below"
"Norway_63A Ranaskjær HG Mytilus edulis SB Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","4691","63A Ranaskjær","63A Ranaskjer, Ålvik, Hardangerfjord",60.42096,6.40502,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","downward_triangle","red",28,28,28,1987,1987,2017,,0.0033,0.0033,0.0033,-2.4,0.0033,-2.4,13.9,138.82715609999158,176.19733034236347,"BAC",90,86.19733034236347,2035,"above","EQS.OSPAR",121.95121951219514,54.246110830168334,2022,"above",3048.7804878048782,-2872.583157462515,2017,"below"
"Norway_64A Utne ytre Sørfjorden (B4) HG Mytilus edulis SB Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","4851","64A Utne ytre Sørfjorden (B4)","64A Utne, Outer Sørfjord",60.4239,6.6223,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","red",6,6,6,2015,2015,2020,,0.5654,0.5654,0.5654,2.6,0.5654,2.6,7.5,108.42577435830314,144.0890781964174,"BAC",90,54.089078196417404,3000,"above","EQS.OSPAR",121.95121951219514,22.137858684222266,2020,"above",3048.7804878048782,-2904.691409608461,2020,"below"
"Norway_65A Vikingneset HG Mytilus edulis SB Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","4689","65A Vikingneset","65A Vikingenes, Mid Hardangerfjord",60.24233,6.15267,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","red",31,31,31,1987,1987,2019,,0.0675,0.0675,0.0675,-1,0.0675,-1,11.7,110.45201747575565,132.6289794438395,"BAC",90,42.62897944383951,2039,"above","EQS.OSPAR",121.95121951219514,10.677759931644374,2019,"above",3048.7804878048782,-2916.151508361039,2019,"below"
"Norway_69A Lille Terøy HG Mytilus edulis SB Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","4852","69A Lille Terøy","69A Terøya, Outer Hardangerfjord",59.984,5.7545,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","green",23,23,22,1992,1992,2017,,0.3078,0.3078,0.3078,-0.8,0.3078,-0.8,10.7,82.62389918870358,101.79461036991597,"BAC",90,11.794610369915972,2017,"above","EQS.OSPAR",121.95121951219514,-20.156609142279166,2017,"below",3048.7804878048782,-2946.9858774349623,2017,"below"
"Norway_I241 Nordnes HG Mytilus edulis SB Not_applicable","2","Norwegian Trench","Greater North Sea","Norway","5027","I241 Nordnes","I241 Nordnes, Bergen harbour",60.40077,5.30396,"IH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","downward_triangle","blue",9,9,9,2009,2009,2020,,0.0083,0.0083,0.0083,-6.8,0.0083,-6.8,9.3,68.71859902129327,88.13257027653427,"BAC",90,-1.867429723465733,2020,"above","EQS.OSPAR",121.95121951219514,-33.81864923566087,2020,"below",3048.7804878048782,-2960.647917528344,2020,"below"
"Denmark_Anholt HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","759","Anholt","Anholt south",56.69617,11.531,"B","MO","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","blue",4,4,4,2008,2008,2020,,,,,,,,7.3,49.79878166567258,57.035034542557426,"BAC",90,-32.964965457442574,2020,,"EQS.OSPAR",121.95121951219514,-64.91618496963771,2020,,3048.7804878048782,-2991.745453262321,2020,
"Denmark_Anholt HG Platichthys flesus MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","759","Anholt","Anholt south",56.69617,11.531,"B","MO","HG","Metals","Platichthys flesus","MU","W","ug/kg",,,"Not_applicable","small_open_circle","red",1,1,1,2020,2020,2020,,,,,,,,,48.00000000000001,,,,,,,"EQS.OSPAR",20,28.000000000000007,,,500,-452,2020,
"Denmark_ARH190069 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","396","ARH190069","Treå Møllebugt",56.52983,10.51227,"RH","CE","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","blue",2,2,2,2013,2013,2018,,,,,,,,,81.84882041405876,,"BAC",90,-8.151179585941236,2018,,"EQS.OSPAR",121.95121951219514,-40.102399098136374,2018,,3048.7804878048782,-2966.9316673908197,2018,
"Denmark_ARH230066 HG Platichthys flesus MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","11127","ARH230066","Randers Fjord",56.572,10.25917,"RH","CF","HG","Metals","Platichthys flesus","MU","W","ug/kg",,,"Not_applicable","small_open_circle","red",1,1,1,2020,2020,2020,,,,,,,,,166.00000000000006,,,,,,,"EQS.OSPAR",20,146.00000000000006,,,500,-333.99999999999994,2020,
"Denmark_ARH230066 HG Zoarces viviparus MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","11127","ARH230066","Randers Fjord",56.572,10.25917,"RH","CF","HG","Metals","Zoarces viviparus","MU","W","ug/kg",,,"Not_applicable","small_filled_circle","red",4,4,4,2012,2012,2017,,,,,,,,9.1,30.98452478550777,41.3252459014166,,,,,,"EQS.OSPAR",20,21.3252459014166,,,500,-458.6747540985834,2017,
"Denmark_ARH230989 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","10862","ARH230989","Randers Fjord, Raaby Kaer",56.60268,10.2897,"RH~RP","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","downward_triangle","blue",9,9,9,2008,2008,2020,,0.0251,0.0251,0.0251,-6,0.0251,-6,9.7,59.63745043613395,85.4887762511099,"BAC",90,-4.511223748890103,2020,"above","EQS.OSPAR",121.95121951219514,-36.46244326108524,2020,"below",3048.7804878048782,-2963.2917115537684,2020,"below"
"Denmark_DMU SjlOdde HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","768","DMU SjlOdde","Kattegat Sjællands Odde",56.0065,11.28383,"B","CE","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","green",4,4,4,2008,2008,2019,,,,,,,,4.8,100.09656305486132,116.81091116005067,"BAC",90,26.810911160050665,,,"EQS.OSPAR",121.95121951219514,-5.140308352144473,2019,,3048.7804878048782,-2931.9695766448276,2019,
"Denmark_LIM-3708-1 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","10906","LIM-3708-1","Limfjorden Loegstoer Bredning",56.95233,9.0575,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","red",8,8,8,2010,2010,2018,,0.8682,0.8682,0.8682,1.2,0.8682,1.2,21.3,74.49686332277497,156.52889148914326,"BAC",90,66.52889148914326,2018,"above","EQS.OSPAR",121.95121951219514,34.577671976948125,2018,"above",3048.7804878048782,-2892.251596315735,2018,"below"
"Denmark_LIM-3711-1 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","11138","LIM-3711-1","Limfjorden Attrup",57.03267,9.45217,"RP","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","blue",2,2,2,2011,2011,2018,,,,,,,,,89.73858759266487,,"BAC",90,-0.26141240733512916,2018,,"EQS.OSPAR",121.95121951219514,-32.21263191953027,2018,,3048.7804878048782,-2959.0419002122135,2018,
"Denmark_LIM-3711-5 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","11160","LIM-3711-5","Limfjorden Aggersund",57.029,9.51,"RH~RP","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","blue",2,2,2,2012,2012,2018,,,,,,,,,83.00000000000003,,"BAC",90,-6.999999999999972,2018,,"EQS.OSPAR",121.95121951219514,-38.95121951219511,2018,,3048.7804878048782,-2965.7804878048782,2018,
"Denmark_LIM-3714-1 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","10870","LIM-3714-1","Limfjorden Hesteskoen",57.0848,10.003,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","red",2,2,2,2015,2015,2019,,,,,,,,,128.48484848484844,,"BAC",90,38.48484848484844,,,"EQS.OSPAR",121.95121951219514,6.533628972653304,,,3048.7804878048782,-2920.2956393200297,2019,
"Denmark_LIM-3718-2 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","10873","LIM-3718-2","Langerak Mou Havn",56.98602,10.22758,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","red",9,9,9,2008,2008,2018,,0.5561,0.5561,0.5561,1.9,0.5561,1.9,11.3,126.27700504641089,181.99333279657307,"BAC",90,91.99333279657307,3000,"above","EQS.OSPAR",121.95121951219514,60.04211328437793,3000,"above",3048.7804878048782,-2866.787155008305,2018,"below"
"Denmark_LIM-3723-2 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","415","LIM-3723-2","Limfjorden Thisted Bredning",56.91167,8.81533,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","blue",2,2,2,2014,2014,2020,,,,,,,,,63.879210220673656,,"BAC",90,-26.120789779326344,2020,,"EQS.OSPAR",121.95121951219514,-58.07200929152148,2020,,3048.7804878048782,-2984.9012775842048,2020,
"Denmark_LIM-3726-1 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","10875","LIM-3726-1","Langerak Risgaarde Bredning",56.7495,9.16933,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","green",3,3,3,2012,2012,2019,,,,,,,,14.7,51.50889760899844,99.4218304906766,"BAC",90,9.421830490676598,2019,,"EQS.OSPAR",121.95121951219514,-22.52938902151854,2019,,3048.7804878048782,-2949.3586573142015,2019,
"Denmark_LIM-3727-1 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","10963","LIM-3727-1","Skive Fjord",56.62083,9.07583,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","green",3,3,3,2010,2010,2018,,,,,,,,9.9,73.52378485977084,110.80377654811483,"BAC",90,20.803776548114826,2018,,"EQS.OSPAR",121.95121951219514,-11.147442964080312,2018,,3048.7804878048782,-2937.9767112567633,2018,
"Denmark_LIM-3727-2 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","10874","LIM-3727-2","Skive Fjord",56.59372,9.0533,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","blue",1,1,1,2015,2015,2015,,,,,,,,,42.00000000000001,,"BAC",90,-47.99999999999999,2015,,"EQS.OSPAR",121.95121951219514,-79.95121951219514,2015,,3048.7804878048782,-3006.7804878048782,2015,
"Denmark_LIM-3727-3 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","12813","LIM-3727-3","Hjarbæk Fjord",56.675,9.21667,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","blue",2,2,2,2011,2011,2020,,,,,,,,,69.62025316455694,,"BAC",90,-20.379746835443058,2020,,"EQS.OSPAR",121.95121951219514,-52.330966347638196,2020,,3048.7804878048782,-2979.1602346403215,2020,
"Denmark_LIM-3728-1 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","10969","LIM-3728-1","Lovns Bredning",56.661,9.2442,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","blue",1,1,1,2019,2019,2019,,,,,,,,,47.98127559976596,,"BAC",90,-42.01872440023404,2019,,"EQS.OSPAR",121.95121951219514,-73.96994391242919,2019,,3048.7804878048782,-3000.7992122051123,2019,
"Denmark_LIM-3728-2 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","416","LIM-3728-2","Limfjorden Lovns Bredning",56.63717,9.29417,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","blue",4,4,4,2013,2013,2016,,,,,,,,7,54.26954821449973,67.80564442080244,"BAC",90,-22.194355579197563,2016,,"EQS.OSPAR",121.95121951219514,-54.1455750913927,2016,,3048.7804878048782,-2980.974843384076,2016,
"Denmark_LIM-3728-3 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","11150","LIM-3728-3","Limfjorden Lovns Bredning",56.607,9.29667,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","red",2,2,2,2012,2012,2018,,,,,,,,,156.99999999999994,,"BAC",90,66.99999999999994,,,"EQS.OSPAR",121.95121951219514,35.048780487804805,,,3048.7804878048782,-2891.7804878048782,2018,
"Denmark_LIM-3730-2 HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","417","LIM-3730-2","Limfjorden Halkær Bredning",56.96012,9.57362,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","green",2,2,2,2013,2013,2018,,,,,,,,,106.92177827799664,,"BAC",90,16.921778277996637,,,"EQS.OSPAR",121.95121951219514,-15.0294412341985,2018,,3048.7804878048782,-2941.8587095268817,2018,
"Denmark_NORF-Aggersund HG Zoarces viviparus MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","12888","NORF-Aggersund","Aggersund",57.0092,9.311,"RH","CF","HG","Metals","Zoarces viviparus","MU","W","ug/kg",,,"Not_applicable","small_open_circle","red",1,1,1,2019,2019,2019,,,,,,,,,31,,,,,,,"EQS.OSPAR",20,11,,,500,-469,2019,
"Denmark_NORF-Halkaer HG Platichthys flesus LI Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","12889","NORF-Halkaer","Halkær Bredning",56.9488,9.5595,"RH","CF","HG","Metals","Platichthys flesus","LI","W","ug/kg",,,"Not_applicable","small_open_circle","green",1,1,1,2019,2019,2019,,,,,,,,,19.999999999999996,,,,,,,"EQS.OSPAR",20,-3.552713678800501e-15,2019,,,,,
"Denmark_NORF-Halkaer HG Platichthys flesus MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","12889","NORF-Halkaer","Halkær Bredning",56.9488,9.5595,"RH","CF","HG","Metals","Platichthys flesus","MU","W","ug/kg",,,"Not_applicable","small_open_circle","green",1,1,1,2019,2019,2019,,,,,,,,,14.86606874731851,,,,,,,"EQS.OSPAR",20,-5.13393125268149,2019,,500,-485.13393125268146,2019,
"Denmark_NORF-MarYderFjord HG Platichthys flesus MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","12666","NORF-MarYderFjord","Mariager Fjord",56.68833,10.20833,"RH","CF","HG","Metals","Platichthys flesus","MU","W","ug/kg",,,"Not_applicable","small_open_circle","green",2,2,2,2017,2017,2019,,,,,,,,,15.999999999999998,,,,,,,"EQS.OSPAR",20,-4.000000000000002,2019,,500,-484,2019,
"Denmark_NORF-MarYderFjord HG Zoarces viviparus MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","12666","NORF-MarYderFjord","Mariager Fjord",56.68833,10.20833,"RH","CF","HG","Metals","Zoarces viviparus","MU","W","ug/kg",,,"Not_applicable","small_open_circle","red",1,1,1,2020,2020,2020,,,,,,,,,43,,,,,,,"EQS.OSPAR",20,23,,,500,-457,2020,
"Denmark_NORF-Skagerrak HG Pleuronectes platessa MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","12890","NORF-Skagerrak","Skagerrak",57.2703,9.5033,"RH","MO","HG","Metals","Pleuronectes platessa","MU","W","ug/kg",,,"Not_applicable","small_open_circle","red",1,1,1,2019,2019,2019,,,,,,,,,42.00000000000001,,,,,,,"EQS.OSPAR",20,22.000000000000007,,,500,-458,2019,
"Denmark_NORF-Stensnaes HG Platichthys flesus MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","12891","NORF-Stensnaes","Stensnæs",57.2202,10.5498,"RH","CF","HG","Metals","Platichthys flesus","MU","W","ug/kg",,,"Not_applicable","small_open_circle","red",1,1,1,2019,2019,2019,,,,,,,,,23,,,,,,,"EQS.OSPAR",20,3,,,500,-477,2019,
"Denmark_NORM-Asaa HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","421","NORM-Asaa","Kattegat coast",57.17667,10.455,"RH","CE","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","red",2,2,2,2013,2013,2018,,,,,,,,,275.9043531575721,,"BAC",90,185.90435315757207,,,"EQS.OSPAR",121.95121951219514,153.95313364537694,,,3048.7804878048782,-2772.876134647306,2018,
"Denmark_NORM-DokkedalM HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","423","NORM-DokkedalM","Langerak Dokkedal",56.90607,10.27073,"RH","CE","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","upward_triangle","red",5,5,5,2013,2013,2018,,0.0444,0.0444,0.0444,8.8,0.0444,8.8,5.1,124.01145367636154,163.02264715803574,"BAC",90,73.02264715803574,3000,"above","EQS.OSPAR",121.95121951219514,41.0714276458406,3000,"above",3048.7804878048782,-2885.7578406468424,2018,"below"
"Denmark_NORM-Hadsundoest HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","10878","NORM-Hadsundoest","Mariager fjord",56.71683,10.12733,"RH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","green",2,2,2,2015,2015,2020,,,,,,,,,93.02325581395344,,"BAC",90,3.0232558139534405,,,"EQS.OSPAR",121.95121951219514,-28.927963698241697,2020,,3048.7804878048782,-2955.757231990925,2020,
"Denmark_NORM-Hanstholm HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","11155","NORM-Hanstholm","Skagerrak Hanstholm",57.12433,8.62633,"RH","C","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","red",2,2,2,2012,2012,2018,,,,,,,,,142.15904042647716,,"BAC",90,52.15904042647716,,,"EQS.OSPAR",121.95121951219514,20.207820914282024,,,3048.7804878048782,-2906.621447378401,2018,
"Denmark_NORM-hirts-Fyr HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","424","NORM-hirts-Fyr","North Sea Hirtshals fyr",57.58333,9.93517,"RH","CE","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","blue",3,3,3,2014,2014,2020,,,,,,,,5.5,72.30154855681099,87.05357910656943,"BAC",90,-2.9464208934305702,2020,,"EQS.OSPAR",121.95121951219514,-34.89764040562571,2020,,3048.7804878048782,-2961.7269086983088,2020,
"Denmark_NORM-Loenstrup HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","11156","NORM-Loenstrup","Skagerrak Lønstrup",57.47783,9.79667,"RH","C","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","red",2,2,2,2012,2012,2018,,,,,,,,,127.99999999999997,,"BAC",90,37.99999999999997,,,"EQS.OSPAR",121.95121951219514,6.048780487804834,,,3048.7804878048782,-2920.7804878048782,2018,
"Denmark_NORM-Rugholm HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","429","NORM-Rugholm","Kattegat Strandby",57.50433,10.49,"RH","CE","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","red",2,2,2,2014,2014,2019,,,,,,,,,248.7736510161177,,"BAC",90,158.7736510161177,,,"EQS.OSPAR",121.95121951219514,126.82243150392256,,,3048.7804878048782,-2800.0068367887607,2019,
"Denmark_NORM-Saeby-syd HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","430","NORM-Saeby-syd","Kattegat Sæby",57.32467,10.52783,"IH-H","CE","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","green",2,2,2,2014,2014,2019,,,,,,,,,101.00000000000003,,"BAC",90,11.000000000000028,,,"EQS.OSPAR",121.95121951219514,-20.95121951219511,2019,,3048.7804878048782,-2947.7804878048782,2019,
"Denmark_NORM-SkagenFyr HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Denmark","431","NORM-SkagenFyr","Kattegat Skagen Fyr",57.73518,10.63145,"IH-H","CE","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","red",4,4,4,2013,2013,2019,,,,,,,,3.9,116.7400291928513,131.95499278650666,"BAC",90,41.954992786506665,,,"EQS.OSPAR",121.95121951219514,10.003773274311527,2019,,3048.7804878048782,-2916.8254950183714,2019,
"Norway_02B Kirkøy (north) HG Gadus morhua MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Norway","4847","02B Kirkøy (north)","02B Kirkøy, Hvaler",59.06482,10.97354,"RH","CF","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","large_filled_circle","red",8,8,8,2013,2013,2020,,0.1991,0.1991,0.1991,-3.9,0.1991,-3.9,7.8,91.82894405002185,116.3317441359607,,,,,,"EQS.OSPAR",20,96.3317441359607,2059,"above",500,-383.6682558640393,2020,"below"
"Norway_13B Kristiansand harbour HG Gadus morhua MU Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Norway","4844","13B Kristiansand harbour","13B Kristiansand harbour area",58.13283,7.9885,"B~RH","CF","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","upward_triangle","red",12,12,12,2009,2009,2020,,0.0325,0.0325,0.0325,8.5,0.0325,8.5,17.5,126.7961659719516,193.72039930127437,,,,,,"EQS.OSPAR",20,173.72039930127437,3000,"above",500,-306.27960069872563,2020,"below"
"Norway_30A Gressholmen HG Mytilus edulis SB Not_applicable","2","Skagerrak and Kattegat","Greater North Sea","Norway","4954","30A Gressholmen","30A Gressholmen, Inner Oslofjord",59.88362,10.711,"IH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","red",35,35,34,1984,1984,2020,0.0116,0.004,2e-4,0.5963,0.5,0.0537,2.5,15,121.6516880223579,171.24875549298406,"BAC",90,81.24875549298406,3000,"above","EQS.OSPAR",121.95121951219514,49.29753598078892,2020,"above",3048.7804878048782,-2877.5317323118943,2020,"below"
